x,y,relation
Update from customer,Callback Request,independency
Update from customer,External update,cuncurrency
Update from customer,External Vendor Reassignment,independency
Update from customer,alert stage 1,independency
Update from customer,Dial-in,independency
Operator Update,Reassignment,cuncurrency
Operator Update,Update from customer,cuncurrency
Operator Update,Operator Update,cuncurrency
Operator Update,Assignment,cuncurrency
Operator Update,Closed,cuncurrency
Operator Update,Caused By CI,cuncurrency
Operator Update,Update,cuncurrency
Operator Update,Status Change,cuncurrency
Operator Update,Description Update,cuncurrency
Operator Update,Analysis/Research,cuncurrency
Operator Update,Resolved,cuncurrency
Operator Update,OO Response,cuncurrency
Operator Update,Communication with customer,cuncurrency
Operator Update,External Vendor Assignment,cuncurrency
Operator Update,Pending vendor,cuncurrency
Operator Update,Open,cuncurrency
Operator Update,Communication with vendor,cuncurrency
Operator Update,Reopen,cuncurrency
Operator Update,Vendor Reference,cuncurrency
Operator Update,Urgency Change,cuncurrency
Operator Update,Impact Change,cuncurrency
Operator Update,Quality Indicator Fixed,cuncurrency
Operator Update,Problem Workaround,cuncurrency
Operator Update,Problem Closure,cuncurrency
Operator Update,Service Change,cuncurrency
Operator Update,Affected CI Change,cuncurrency
Operator Update,Referred,cuncurrency
Operator Update,Vendor Reference Change,cuncurrency
Operator Update,Incident reproduction,cuncurrency
Operator Update,Quality Indicator,cuncurrency
Operator Update,Notify By Change,cuncurrency
Operator Update,Contact Change,cuncurrency
Operator Update,Mail to Customer,cuncurrency
Operator Update,Quality Indicator Set,cuncurrency
Operator Update,Callback Request,cuncurrency
Operator Update,External update,cuncurrency
Operator Update,External Vendor Reassignment,cuncurrency
Operator Update,alert stage 1,cuncurrency
Operator Update,Dial-in,cuncurrency
Assignment,Reassignment,cuncurrency
Assignment,Update from customer,cuncurrency
Assignment,Operator Update,cuncurrency
Assignment,Assignment,cuncurrency
Assignment,Closed,cuncurrency
Assignment,Caused By CI,cuncurrency
Assignment,Update,cuncurrency
Assignment,Status Change,cuncurrency
Assignment,Description Update,cuncurrency
Assignment,Analysis/Research,cuncurrency
Assignment,Resolved,cuncurrency
Assignment,OO Response,cuncurrency
Assignment,Communication with customer,cuncurrency
Assignment,External Vendor Assignment,cuncurrency
Assignment,Pending vendor,cuncurrency
Assignment,Open,cuncurrency
Assignment,Communication with vendor,cuncurrency
Assignment,Reopen,cuncurrency
Assignment,Vendor Reference,cuncurrency
Assignment,Urgency Change,cuncurrency
Assignment,Impact Change,cuncurrency
Assignment,Quality Indicator Fixed,cuncurrency
Assignment,Problem Workaround,cuncurrency
Assignment,Problem Closure,cuncurrency
Assignment,Service Change,cuncurrency
Assignment,Affected CI Change,cuncurrency
Assignment,Referred,cuncurrency
Assignment,Vendor Reference Change,cuncurrency
Assignment,Incident reproduction,cuncurrency
Assignment,Quality Indicator,cuncurrency
Assignment,Notify By Change,cuncurrency
Assignment,Contact Change,cuncurrency
Assignment,Mail to Customer,cuncurrency
Assignment,Quality Indicator Set,cuncurrency
Assignment,Callback Request,cuncurrency
Assignment,External update,cuncurrency
Assignment,External Vendor Reassignment,cuncurrency
Assignment,alert stage 1,independency
Assignment,Dial-in,cuncurrency
Closed,Reassignment,cuncurrency
Closed,Update from customer,cuncurrency
Closed,Operator Update,cuncurrency
Closed,Assignment,cuncurrency
Closed,Closed,cuncurrency
Closed,Caused By CI,cuncurrency
Closed,Update,cuncurrency
Closed,Status Change,cuncurrency
Closed,Description Update,cuncurrency
Closed,Analysis/Research,cuncurrency
Closed,Resolved,cuncurrency
Closed,OO Response,cuncurrency
Closed,Communication with customer,cuncurrency
Closed,External Vendor Assignment,cuncurrency
Closed,Pending vendor,cuncurrency
Closed,Open,cuncurrency
Closed,Communication with vendor,cuncurrency
Closed,Reopen,cuncurrency
Closed,Vendor Reference,cuncurrency
Closed,Urgency Change,cuncurrency
Closed,Impact Change,cuncurrency
Closed,Quality Indicator Fixed,cuncurrency
Closed,Problem Workaround,cuncurrency
Closed,Problem Closure,cuncurrency
Closed,Service Change,cuncurrency
Closed,Affected CI Change,cuncurrency
Closed,Referred,cuncurrency
Closed,Vendor Reference Change,cuncurrency
Closed,Incident reproduction,cuncurrency
Closed,Quality Indicator,cuncurrency
Closed,Notify By Change,cuncurrency
Closed,Contact Change,cuncurrency
Closed,Mail to Customer,cuncurrency
Closed,Quality Indicator Set,cuncurrency
Closed,Callback Request,cuncurrency
Closed,External update,cuncurrency
Closed,External Vendor Reassignment,cuncurrency
Closed,alert stage 1,cuncurrency
Closed,Dial-in,cuncurrency
Caused By CI,Reassignment,cuncurrency
Caused By CI,Update from customer,cuncurrency
Caused By CI,Operator Update,cuncurrency
Caused By CI,Assignment,cuncurrency
Caused By CI,Closed,cuncurrency
Caused By CI,Caused By CI,cuncurrency
Caused By CI,Update,cuncurrency
Caused By CI,Status Change,cuncurrency
Caused By CI,Description Update,cuncurrency
Caused By CI,Analysis/Research,cuncurrency
Caused By CI,Resolved,cuncurrency
Caused By CI,OO Response,independency
Caused By CI,Communication with customer,cuncurrency
Caused By CI,External Vendor Assignment,independency
Caused By CI,Pending vendor,cuncurrency
Caused By CI,Open,cuncurrency
Caused By CI,Communication with vendor,cuncurrency
Caused By CI,Reopen,cuncurrency
Caused By CI,Vendor Reference,independency
Caused By CI,Urgency Change,cuncurrency
Caused By CI,Impact Change,cuncurrency
Caused By CI,Quality Indicator Fixed,cuncurrency
Caused By CI,Problem Workaround,independency
Caused By CI,Problem Closure,independency
Caused By CI,Service Change,cuncurrency
Caused By CI,Affected CI Change,cuncurrency
Caused By CI,Referred,independency
Caused By CI,Vendor Reference Change,cuncurrency
Caused By CI,Incident reproduction,independency
Caused By CI,Quality Indicator,cuncurrency
Caused By CI,Notify By Change,cuncurrency
Caused By CI,Contact Change,cuncurrency
Caused By CI,Mail to Customer,cuncurrency
Caused By CI,Quality Indicator Set,cuncurrency
Caused By CI,Callback Request,independency
Caused By CI,External update,cuncurrency
Caused By CI,External Vendor Reassignment,independency
Caused By CI,alert stage 1,independency
Caused By CI,Dial-in,independency
Update,Reassignment,cuncurrency
Update,Update from customer,cuncurrency
Update,Operator Update,cuncurrency
Update,Assignment,cuncurrency
Update,Closed,cuncurrency
Update,Caused By CI,cuncurrency
Update,Update,cuncurrency
Update,Status Change,cuncurrency
Update,Description Update,cuncurrency
Update,Analysis/Research,cuncurrency
Update,Resolved,cuncurrency
Update,OO Response,cuncurrency
Update,Communication with customer,cuncurrency
Update,External Vendor Assignment,cuncurrency
Update,Pending vendor,cuncurrency
Update,Open,cuncurrency
Update,Communication with vendor,cuncurrency
Update,Reopen,cuncurrency
Update,Vendor Reference,cuncurrency
Update,Urgency Change,cuncurrency
Update,Impact Change,cuncurrency
Update,Quality Indicator Fixed,cuncurrency
Update,Problem Workaround,cuncurrency
Update,Problem Closure,cuncurrency
Update,Service Change,cuncurrency
Update,Affected CI Change,cuncurrency
Update,Referred,cuncurrency
Update,Vendor Reference Change,cuncurrency
Update,Incident reproduction,cuncurrency
Update,Quality Indicator,cuncurrency
Update,Notify By Change,cuncurrency
Update,Contact Change,cuncurrency
Update,Mail to Customer,cuncurrency
Update,Quality Indicator Set,cuncurrency
Update,Callback Request,cuncurrency
Update,External update,cuncurrency
Update,External Vendor Reassignment,cuncurrency
Update,alert stage 1,independency
Update,Dial-in,independency
Status Change,Reassignment,cuncurrency
Status Change,Update from customer,cuncurrency
Status Change,Operator Update,cuncurrency
Status Change,Assignment,cuncurrency
Status Change,Closed,cuncurrency
Status Change,Caused By CI,cuncurrency
Status Change,Update,cuncurrency
Status Change,Status Change,cuncurrency
Status Change,Description Update,cuncurrency
Status Change,Analysis/Research,cuncurrency
Status Change,Resolved,cuncurrency
Status Change,OO Response,cuncurrency
Status Change,Communication with customer,cuncurrency
Status Change,External Vendor Assignment,cuncurrency
Status Change,Pending vendor,cuncurrency
Status Change,Open,cuncurrency
Status Change,Communication with vendor,cuncurrency
Status Change,Reopen,cuncurrency
Status Change,Vendor Reference,cuncurrency
Status Change,Urgency Change,cuncurrency
Status Change,Impact Change,cuncurrency
Status Change,Quality Indicator Fixed,cuncurrency
Status Change,Problem Workaround,cuncurrency
Status Change,Problem Closure,cuncurrency
Status Change,Service Change,cuncurrency
Status Change,Affected CI Change,cuncurrency
Status Change,Referred,cuncurrency
Status Change,Vendor Reference Change,cuncurrency
Status Change,Incident reproduction,cuncurrency
Status Change,Quality Indicator,cuncurrency
Status Change,Notify By Change,cuncurrency
Status Change,Contact Change,cuncurrency
Status Change,Mail to Customer,cuncurrency
Status Change,Quality Indicator Set,cuncurrency
Status Change,Callback Request,cuncurrency
Status Change,External update,cuncurrency
Status Change,External Vendor Reassignment,cuncurrency
Status Change,alert stage 1,independency
Status Change,Dial-in,independency
Description Update,Reassignment,cuncurrency
Description Update,Update from customer,cuncurrency
Description Update,Operator Update,cuncurrency
Description Update,Assignment,cuncurrency
Description Update,Closed,cuncurrency
Description Update,Caused By CI,cuncurrency
Description Update,Update,cuncurrency
Description Update,Status Change,cuncurrency
Description Update,Description Update,cuncurrency
Description Update,Analysis/Research,cuncurrency
Description Update,Resolved,cuncurrency
Description Update,OO Response,independency
Description Update,Communication with customer,cuncurrency
Description Update,External Vendor Assignment,cuncurrency
Description Update,Pending vendor,cuncurrency
Description Update,Open,cuncurrency
Description Update,Communication with vendor,cuncurrency
Description Update,Reopen,cuncurrency
Description Update,Vendor Reference,cuncurrency
Description Update,Urgency Change,cuncurrency
Description Update,Impact Change,cuncurrency
Description Update,Quality Indicator Fixed,cuncurrency
Description Update,Problem Workaround,independency
Description Update,Problem Closure,independency
Description Update,Service Change,cuncurrency
Description Update,Affected CI Change,cuncurrency
Description Update,Referred,independency
Description Update,Vendor Reference Change,cuncurrency
Description Update,Incident reproduction,independency
Description Update,Quality Indicator,cuncurrency
Description Update,Notify By Change,cuncurrency
Description Update,Contact Change,cuncurrency
Description Update,Mail to Customer,cuncurrency
Description Update,Quality Indicator Set,cuncurrency
Description Update,Callback Request,cuncurrency
Description Update,External update,independency
Description Update,External Vendor Reassignment,cuncurrency
Description Update,alert stage 1,independency
Description Update,Dial-in,independency
Analysis/Research,Reassignment,cuncurrency
Analysis/Research,Update from customer,cuncurrency
Analysis/Research,Operator Update,cuncurrency
Analysis/Research,Assignment,cuncurrency
Analysis/Research,Closed,cuncurrency
Analysis/Research,Caused By CI,cuncurrency
Analysis/Research,Update,cuncurrency
Analysis/Research,Status Change,cuncurrency
Analysis/Research,Description Update,cuncurrency
Analysis/Research,Analysis/Research,cuncurrency
Analysis/Research,Resolved,cuncurrency
Analysis/Research,OO Response,independency
Analysis/Research,Communication with customer,cuncurrency
Analysis/Research,External Vendor Assignment,cuncurrency
Analysis/Research,Pending vendor,cuncurrency
Analysis/Research,Open,cuncurrency
Analysis/Research,Communication with vendor,cuncurrency
Analysis/Research,Reopen,cuncurrency
Analysis/Research,Vendor Reference,independency
Analysis/Research,Urgency Change,cuncurrency
Analysis/Research,Impact Change,cuncurrency
Analysis/Research,Quality Indicator Fixed,cuncurrency
Analysis/Research,Problem Workaround,independency
Analysis/Research,Problem Closure,independency
Analysis/Research,Service Change,cuncurrency
Analysis/Research,Affected CI Change,cuncurrency
Analysis/Research,Referred,cuncurrency
Analysis/Research,Vendor Reference Change,independency
Analysis/Research,Incident reproduction,cuncurrency
Analysis/Research,Quality Indicator,independency
Analysis/Research,Notify By Change,cuncurrency
Analysis/Research,Contact Change,independency
Analysis/Research,Mail to Customer,cuncurrency
Analysis/Research,Quality Indicator Set,cuncurrency
Analysis/Research,Callback Request,independency
Analysis/Research,External update,cuncurrency
Analysis/Research,External Vendor Reassignment,independency
Analysis/Research,alert stage 1,independency
Analysis/Research,Dial-in,independency
Resolved,Reassignment,cuncurrency
Resolved,Update from customer,cuncurrency
Resolved,Operator Update,cuncurrency
Resolved,Assignment,cuncurrency
Resolved,Closed,cuncurrency
Resolved,Caused By CI,cuncurrency
Resolved,Update,cuncurrency
Resolved,Status Change,cuncurrency
Resolved,Description Update,cuncurrency
Resolved,Analysis/Research,cuncurrency
Resolved,Resolved,independency
Resolved,OO Response,independency
Resolved,Communication with customer,cuncurrency
Resolved,External Vendor Assignment,cuncurrency
Resolved,Pending vendor,cuncurrency
Resolved,Open,cuncurrency
Resolved,Communication with vendor,cuncurrency
Resolved,Reopen,cuncurrency
Resolved,Vendor Reference,cuncurrency
Resolved,Urgency Change,cuncurrency
Resolved,Impact Change,independency
Resolved,Quality Indicator Fixed,cuncurrency
Resolved,Problem Workaround,cuncurrency
Resolved,Problem Closure,cuncurrency
Resolved,Service Change,independency
Resolved,Affected CI Change,independency
Resolved,Referred,independency
Resolved,Vendor Reference Change,cuncurrency
Resolved,Incident reproduction,independency
Resolved,Quality Indicator,cuncurrency
Resolved,Notify By Change,cuncurrency
Resolved,Contact Change,independency
Resolved,Mail to Customer,cuncurrency
Resolved,Quality Indicator Set,cuncurrency
Resolved,Callback Request,independency
Resolved,External update,cuncurrency
Resolved,External Vendor Reassignment,cuncurrency
Resolved,alert stage 1,independency
Resolved,Dial-in,independency
OO Response,Reassignment,cuncurrency
OO Response,Update from customer,independency
OO Response,Operator Update,cuncurrency
OO Response,Assignment,cuncurrency
OO Response,Closed,cuncurrency
OO Response,Caused By CI,independency
OO Response,Update,cuncurrency
OO Response,Status Change,cuncurrency
OO Response,Description Update,independency
OO Response,Analysis/Research,independency
OO Response,Resolved,independency
OO Response,OO Response,independency
OO Response,Communication with customer,independency
OO Response,External Vendor Assignment,independency
OO Response,Pending vendor,independency
OO Response,Open,cuncurrency
OO Response,Communication with vendor,independency
OO Response,Reopen,independency
OO Response,Vendor Reference,independency
OO Response,Urgency Change,independency
OO Response,Impact Change,independency
OO Response,Quality Indicator Fixed,independency
OO Response,Problem Workaround,independency
OO Response,Problem Closure,independency
OO Response,Service Change,independency
OO Response,Affected CI Change,independency
OO Response,Referred,independency
OO Response,Vendor Reference Change,independency
OO Response,Incident reproduction,independency
OO Response,Quality Indicator,independency
OO Response,Notify By Change,independency
OO Response,Contact Change,independency
OO Response,Mail to Customer,independency
OO Response,Quality Indicator Set,independency
OO Response,Callback Request,independency
OO Response,External update,independency
OO Response,External Vendor Reassignment,independency
OO Response,alert stage 1,independency
OO Response,Dial-in,independency
Communication with customer,Reassignment,cuncurrency
Communication with customer,Update from customer,cuncurrency
Communication with customer,Operator Update,cuncurrency
Communication with customer,Assignment,cuncurrency
Communication with customer,Closed,cuncurrency
Communication with customer,Caused By CI,cuncurrency
Communication with customer,Update,cuncurrency
Communication with customer,Status Change,cuncurrency
Communication with customer,Description Update,cuncurrency
Communication with customer,Analysis/Research,cuncurrency
Communication with customer,Resolved,cuncurrency
Communication with customer,OO Response,independency
Communication with customer,Communication with customer,cuncurrency
Communication with customer,External Vendor Assignment,cuncurrency
Communication with customer,Pending vendor,cuncurrency
Communication with customer,Open,cuncurrency
Communication with customer,Communication with vendor,cuncurrency
Communication with customer,Reopen,cuncurrency
Communication with customer,Vendor Reference,cuncurrency
Communication with customer,Urgency Change,cuncurrency
Communication with customer,Impact Change,cuncurrency
Communication with customer,Quality Indicator Fixed,cuncurrency
Communication with customer,Problem Workaround,cuncurrency
Communication with customer,Problem Closure,cuncurrency
Communication with customer,Service Change,independency
Communication with customer,Affected CI Change,cuncurrency
Communication with customer,Referred,independency
Communication with customer,Vendor Reference Change,cuncurrency
Communication with customer,Incident reproduction,cuncurrency
Communication with customer,Quality Indicator,cuncurrency
Communication with customer,Notify By Change,cuncurrency
Communication with customer,Contact Change,cuncurrency
Communication with customer,Mail to Customer,cuncurrency
Communication with customer,Quality Indicator Set,cuncurrency
Communication with customer,Callback Request,cuncurrency
Communication with customer,External update,cuncurrency
Communication with customer,External Vendor Reassignment,independency
Communication with customer,alert stage 1,independency
Communication with customer,Dial-in,independency
External Vendor Assignment,Reassignment,cuncurrency
External Vendor Assignment,Update from customer,cuncurrency
External Vendor Assignment,Operator Update,cuncurrency
External Vendor Assignment,Assignment,cuncurrency
External Vendor Assignment,Closed,cuncurrency
External Vendor Assignment,Caused By CI,independency
External Vendor Assignment,Update,cuncurrency
External Vendor Assignment,Status Change,cuncurrency
External Vendor Assignment,Description Update,cuncurrency
External Vendor Assignment,Analysis/Research,cuncurrency
External Vendor Assignment,Resolved,cuncurrency
External Vendor Assignment,OO Response,independency
External Vendor Assignment,Communication with customer,cuncurrency
External Vendor Assignment,External Vendor Assignment,independency
External Vendor Assignment,Pending vendor,cuncurrency
External Vendor Assignment,Open,cuncurrency
External Vendor Assignment,Communication with vendor,cuncurrency
External Vendor Assignment,Reopen,cuncurrency
External Vendor Assignment,Vendor Reference,cuncurrency
External Vendor Assignment,Urgency Change,cuncurrency
External Vendor Assignment,Impact Change,cuncurrency
External Vendor Assignment,Quality Indicator Fixed,cuncurrency
External Vendor Assignment,Problem Workaround,independency
External Vendor Assignment,Problem Closure,independency
External Vendor Assignment,Service Change,independency
External Vendor Assignment,Affected CI Change,cuncurrency
External Vendor Assignment,Referred,cuncurrency
External Vendor Assignment,Vendor Reference Change,cuncurrency
External Vendor Assignment,Incident reproduction,independency
External Vendor Assignment,Quality Indicator,cuncurrency
External Vendor Assignment,Notify By Change,cuncurrency
External Vendor Assignment,Contact Change,cuncurrency
External Vendor Assignment,Mail to Customer,cuncurrency
External Vendor Assignment,Quality Indicator Set,cuncurrency
External Vendor Assignment,Callback Request,independency
External Vendor Assignment,External update,cuncurrency
External Vendor Assignment,External Vendor Reassignment,cuncurrency
External Vendor Assignment,alert stage 1,independency
External Vendor Assignment,Dial-in,independency
Pending vendor,Reassignment,cuncurrency
Pending vendor,Update from customer,cuncurrency
Pending vendor,Operator Update,cuncurrency
Pending vendor,Assignment,cuncurrency
Pending vendor,Closed,cuncurrency
Pending vendor,Caused By CI,cuncurrency
Pending vendor,Update,cuncurrency
Pending vendor,Status Change,cuncurrency
Pending vendor,Description Update,cuncurrency
Pending vendor,Analysis/Research,cuncurrency
Pending vendor,Resolved,cuncurrency
Pending vendor,OO Response,independency
Pending vendor,Communication with customer,cuncurrency
Pending vendor,External Vendor Assignment,cuncurrency
Pending vendor,Pending vendor,cuncurrency
Pending vendor,Open,cuncurrency
Pending vendor,Communication with vendor,cuncurrency
Pending vendor,Reopen,cuncurrency
Pending vendor,Vendor Reference,cuncurrency
Pending vendor,Urgency Change,cuncurrency
Pending vendor,Impact Change,independency
Pending vendor,Quality Indicator Fixed,cuncurrency
Pending vendor,Problem Workaround,independency
Pending vendor,Problem Closure,independency
Pending vendor,Service Change,cuncurrency
Pending vendor,Affected CI Change,independency
Pending vendor,Referred,cuncurrency
Pending vendor,Vendor Reference Change,independency
Pending vendor,Incident reproduction,independency
Pending vendor,Quality Indicator,cuncurrency
Pending vendor,Notify By Change,cuncurrency
Pending vendor,Contact Change,independency
Pending vendor,Mail to Customer,cuncurrency
Pending vendor,Quality Indicator Set,cuncurrency
Pending vendor,Callback Request,independency
Pending vendor,External update,independency
Pending vendor,External Vendor Reassignment,cuncurrency
Pending vendor,alert stage 1,independency
Pending vendor,Dial-in,independency
Open,Reassignment,cuncurrency
Open,Update from customer,cuncurrency
Open,Operator Update,cuncurrency
Open,Assignment,cuncurrency
Open,Closed,cuncurrency
Open,Caused By CI,cuncurrency
Open,Update,cuncurrency
Open,Status Change,cuncurrency
Open,Description Update,cuncurrency
Open,Analysis/Research,cuncurrency
Open,Resolved,cuncurrency
Open,OO Response,cuncurrency
Open,Communication with customer,cuncurrency
Open,External Vendor Assignment,cuncurrency
Open,Pending vendor,cuncurrency
Open,Open,cuncurrency
Open,Communication with vendor,cuncurrency
Open,Reopen,cuncurrency
Open,Vendor Reference,cuncurrency
Open,Urgency Change,cuncurrency
Open,Impact Change,cuncurrency
Open,Quality Indicator Fixed,cuncurrency
Open,Problem Workaround,independency
Open,Problem Closure,independency
Open,Service Change,cuncurrency
Open,Affected CI Change,cuncurrency
Open,Referred,cuncurrency
Open,Vendor Reference Change,cuncurrency
Open,Incident reproduction,independency
Open,Quality Indicator,cuncurrency
Open,Notify By Change,cuncurrency
Open,Contact Change,cuncurrency
Open,Mail to Customer,cuncurrency
Open,Quality Indicator Set,cuncurrency
Open,Callback Request,independency
Open,External update,cuncurrency
Open,External Vendor Reassignment,cuncurrency
Open,alert stage 1,independency
Open,Dial-in,independency
Communication with vendor,Reassignment,cuncurrency
Communication with vendor,Update from customer,cuncurrency
Communication with vendor,Operator Update,cuncurrency
Communication with vendor,Assignment,cuncurrency
Communication with vendor,Closed,cuncurrency
Communication with vendor,Caused By CI,cuncurrency
Communication with vendor,Update,cuncurrency
Communication with vendor,Status Change,cuncurrency
Communication with vendor,Description Update,cuncurrency
Communication with vendor,Analysis/Research,cuncurrency
Communication with vendor,Resolved,cuncurrency
Communication with vendor,OO Response,independency
Communication with vendor,Communication with customer,cuncurrency
Communication with vendor,External Vendor Assignment,cuncurrency
Communication with vendor,Pending vendor,cuncurrency
Communication with vendor,Open,cuncurrency
Communication with vendor,Communication with vendor,cuncurrency
Communication with vendor,Reopen,cuncurrency
Communication with vendor,Vendor Reference,cuncurrency
Communication with vendor,Urgency Change,cuncurrency
Communication with vendor,Impact Change,cuncurrency
Communication with vendor,Quality Indicator Fixed,cuncurrency
Communication with vendor,Problem Workaround,independency
Communication with vendor,Problem Closure,independency
Communication with vendor,Service Change,cuncurrency
Communication with vendor,Affected CI Change,independency
Communication with vendor,Referred,cuncurrency
Communication with vendor,Vendor Reference Change,cuncurrency
Communication with vendor,Incident reproduction,cuncurrency
Communication with vendor,Quality Indicator,cuncurrency
Communication with vendor,Notify By Change,independency
Communication with vendor,Contact Change,independency
Communication with vendor,Mail to Customer,cuncurrency
Communication with vendor,Quality Indicator Set,cuncurrency
Communication with vendor,Callback Request,independency
Communication with vendor,External update,cuncurrency
Communication with vendor,External Vendor Reassignment,cuncurrency
Communication with vendor,alert stage 1,independency
Communication with vendor,Dial-in,independency
Reopen,Reassignment,cuncurrency
Reopen,Update from customer,cuncurrency
Reopen,Operator Update,cuncurrency
Reopen,Assignment,cuncurrency
Reopen,Closed,cuncurrency
Reopen,Caused By CI,cuncurrency
Reopen,Update,cuncurrency
Reopen,Status Change,cuncurrency
Reopen,Description Update,cuncurrency
Reopen,Analysis/Research,cuncurrency
Reopen,Resolved,cuncurrency
Reopen,OO Response,independency
Reopen,Communication with customer,cuncurrency
Reopen,External Vendor Assignment,cuncurrency
Reopen,Pending vendor,cuncurrency
Reopen,Open,cuncurrency
Reopen,Communication with vendor,cuncurrency
Reopen,Reopen,independency
Reopen,Vendor Reference,independency
Reopen,Urgency Change,independency
Reopen,Impact Change,cuncurrency
Reopen,Quality Indicator Fixed,cuncurrency
Reopen,Problem Workaround,independency
Reopen,Problem Closure,independency
Reopen,Service Change,independency
Reopen,Affected CI Change,independency
Reopen,Referred,independency
Reopen,Vendor Reference Change,cuncurrency
Reopen,Incident reproduction,cuncurrency
Reopen,Quality Indicator,cuncurrency
Reopen,Notify By Change,cuncurrency
Reopen,Contact Change,cuncurrency
Reopen,Mail to Customer,cuncurrency
Reopen,Quality Indicator Set,independency
Reopen,Callback Request,independency
Reopen,External update,independency
Reopen,External Vendor Reassignment,independency
Reopen,alert stage 1,independency
Reopen,Dial-in,independency
Vendor Reference,Reassignment,cuncurrency
Vendor Reference,Update from customer,cuncurrency
Vendor Reference,Operator Update,cuncurrency
Vendor Reference,Assignment,cuncurrency
Vendor Reference,Closed,cuncurrency
Vendor Reference,Caused By CI,independency
Vendor Reference,Update,cuncurrency
Vendor Reference,Status Change,cuncurrency
Vendor Reference,Description Update,cuncurrency
Vendor Reference,Analysis/Research,independency
Vendor Reference,Resolved,cuncurrency
Vendor Reference,OO Response,independency
Vendor Reference,Communication with customer,cuncurrency
Vendor Reference,External Vendor Assignment,cuncurrency
Vendor Reference,Pending vendor,cuncurrency
Vendor Reference,Open,cuncurrency
Vendor Reference,Communication with vendor,cuncurrency
Vendor Reference,Reopen,independency
Vendor Reference,Vendor Reference,independency
Vendor Reference,Urgency Change,independency
Vendor Reference,Impact Change,cuncurrency
Vendor Reference,Quality Indicator Fixed,independency
Vendor Reference,Problem Workaround,independency
Vendor Reference,Problem Closure,independency
Vendor Reference,Service Change,independency
Vendor Reference,Affected CI Change,independency
Vendor Reference,Referred,cuncurrency
Vendor Reference,Vendor Reference Change,cuncurrency
Vendor Reference,Incident reproduction,cuncurrency
Vendor Reference,Quality Indicator,independency
Vendor Reference,Notify By Change,independency
Vendor Reference,Contact Change,independency
Vendor Reference,Mail to Customer,independency
Vendor Reference,Quality Indicator Set,cuncurrency
Vendor Reference,Callback Request,independency
Vendor Reference,External update,independency
Vendor Reference,External Vendor Reassignment,cuncurrency
Vendor Reference,alert stage 1,independency
Vendor Reference,Dial-in,independency
Urgency Change,Reassignment,cuncurrency
Urgency Change,Update from customer,cuncurrency
Urgency Change,Operator Update,cuncurrency
Urgency Change,Assignment,cuncurrency
Urgency Change,Closed,cuncurrency
